GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,AperiodicWork,64,0,4,0,14,0,8,0,6,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Queue.ItemList,143,0,24,0,29,0,22,0,10,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,DependencyGraph.new Comparator() {...},23,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Queue.BuildableRunnable,15,0,0,0,5,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,LoadBalancer,25,0,2,0,5,0,4,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Project,356,0,22,0,78,0,34,0,23,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ParametersDefinitionProperty,309,0,26,0,62,0,30,0,17,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,LoadStatistics.LoadStatisticsUpdater,80,0,8,0,15,0,8,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,DirectoryBrowserSupport.FileComparator,37,0,4,0,10,0,5,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,EnvironmentContributor,8,0,0,0,4,0,4,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Items,350,341,34,50,76,68,35,28,17,4
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ProxyView,86,0,10,0,25,0,15,0,10,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Hudson.MasterComputer,3,0,0,0,1,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ItemVisitor,35,0,6,0,10,0,7,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,TransientUserActionFactory,8,0,0,0,3,0,3,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,TimeSeries,6,72,0,0,1,13,1,4,1,4
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Queue.JobOffer,132,0,26,0,22,0,22,0,9,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,TreeView,127,0,10,0,38,0,22,0,17,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Queue.StubTask,10,0,0,0,4,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Jobs,9,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,TextParameterDefinition.DescriptorImpl,5,0,0,0,2,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ChoiceParameterDefinition.DescriptorImpl,4,11,0,2,2,4,2,3,2,2
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UpdateCenter.RestartJenkinsJob.Failure,7,0,0,0,1,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,FingerprintCleanupThread.new FileFilter() {...},21,0,4,0,4,0,4,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,WorkspaceCleanupThread,330,0,24,0,59,0,18,0,6,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Saveable.new Saveable() {...},0,4,0,0,0,3,0,2,0,2
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,AbstractItem.new NotReallyRoleSensitiveCallable() {...},18,0,0,0,4,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,AutoCompletionCandidates,139,0,12,0,26,0,13,0,7,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,AbstractProject.BecauseOfBuildInProgress,4,0,0,0,2,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,TextParameterDefinition,27,0,0,0,6,0,3,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Queue.new ConsistentHash.Hash() {...},6,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Cause,67,0,10,0,19,0,12,0,7,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,AbstractProject.LabelValidator,3,0,0,0,1,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,AbstractBuild,1102,12,150,0,222,3,122,2,47,2
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Queue.new AbstractSingleValueConverter() {...},74,0,4,0,13,0,6,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ComputerPinger.BuiltInComputerPinger,9,0,0,0,2,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Slave.SlaveDescriptor,31,0,8,0,9,0,7,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UpdateCenter.DownloadJob.Pending,7,0,0,0,1,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ComputerSet.new Saveable() {...},10,0,0,0,5,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,RSS,95,0,6,0,22,0,6,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Slave.GetClockDifference2,12,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ViewGroupMixIn,141,0,22,0,35,0,19,0,8,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,RunMap.new Comparator() {...},8,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,BooleanParameterValue.new VariableResolver() {...},19,0,2,0,3,0,3,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,BuildStepListener,6,0,0,0,2,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,RunnerStack,79,0,10,0,19,0,10,0,5,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UpdateCenter.CoreUpdateMonitor,26,0,6,0,6,0,6,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,AbstractBuild.DependencyChange,59,0,8,0,15,0,6,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,LargeText.new InputStream() {...},39,0,2,0,10,0,5,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,DownloadService.Downloadable,504,0,30,0,97,0,35,0,20,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,BallColor,97,238,4,2,12,25,13,5,11,4
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,UsageStatistics.CombinedCipherOutputStream,50,0,2,0,10,0,3,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Queue.MaintainTask,33,0,2,0,11,0,4,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ComputerSet.new SafeTimerTask() {...},5,0,0,0,4,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,View.new Comparator() {...},6,3,0,0,1,2,1,1,1,1
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,ParameterDefinition.ParameterDescriptor,12,3,0,0,4,2,3,1,3,1
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Result.OptionHandlerImpl,49,0,2,0,10,0,4,0,3,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.model,Computer.new FilenameFilter() {...},0,12,0,0,0,3,0,2,0,2
